symbol,aux,position,start_time,ss_interval,ss_lag,dss,dss_lag,dss_norm,dss_lag_norm,dss_distance,bpm
N,,20539,102.695,0.5449999999999875,0.5500000000000114,-0.005000000000023874,0.005000000000023874,-0.007829664842445407,0.007829664842445407,0.011072818209022096,27.522935779817146
N,,20647,103.235,0.5400000000000063,0.5449999999999875,-0.004999999999981242,-0.005000000000023874,-0.007829664842378646,-0.007829664842445407,0.01107281820897489,27.777777777777455
N,,20763,103.815,0.5799999999999983,0.5400000000000063,0.03999999999999204,-0.004999999999981242,0.0626373187392517,-0.007829664842378646,0.0631247760422688,25.862068965517317
N,,20875,104.375,0.5600000000000023,0.5799999999999983,-0.01999999999999602,0.03999999999999204,-0.03131865936962585,0.0626373187392517,0.07003065131464412,26.785714285714178
N,,20977,104.885,0.5100000000000051,0.5600000000000023,-0.04999999999999716,-0.01999999999999602,-0.07829664842407576,-0.03131865936962585,0.08432807112198154,29.411764705882057
N,,21080,105.4,0.5150000000000006,0.5100000000000051,0.0049999999999954525,-0.04999999999999716,0.007829664842400899,-0.07829664842407576,0.07868715782125857,29.12621359223298
N,,21194,105.97,0.5699999999999932,0.5150000000000006,0.05499999999999261,0.0049999999999954525,0.08612631326647666,0.007829664842400899,0.08648147482796302,26.315789473684525
N,,21305,106.525,0.5550000000000068,0.5699999999999932,-0.014999999999986358,0.05499999999999261,-0.023488994527202697,0.08612631326647666,0.08927191440074661,27.027027027026694
N,,21406,107.03,0.5049999999999955,0.5550000000000068,-0.05000000000001137,-0.014999999999986358,-0.078296648424098,-0.023488994527202697,0.08174410081679147,29.70297029702997
N,,21516,107.58,0.5499999999999972,0.5049999999999955,0.045000000000001705,-0.05000000000001137,0.07046698358167486,-0.078296648424098,0.10533736720436315,27.272727272727412
N,,21616,108.08,0.5,0.5499999999999972,-0.04999999999999716,0.045000000000001705,-0.07829664842407576,0.07046698358167486,0.10533736720434662,30.0
